freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC_GNI,ED2,EU27_2020	: 	: 	: 	: 	: 	1.0 d	1.0 d	1.0 d	1.0 d
A,PC_GNI,ED2,EU28	: 	: 	: 	: 	: 	0.9 d	0.9 d	1.0 d	: 
A,PC_GNI,ED2,FI	1.1 d	1.1 	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 
A,PC_GNI,ED2,FR	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 p	1.2 	1.1 p	1.2 p
A,PC_GNI,ED2,HR	: 	: 	: 	: 	: d	: d	: d	: d	: d
A,PC_GNI,ED2,HU	0.8 	: 	0.6 	0.7 	0.8 	0.7 	0.7 	0.8 	0.7 
A,PC_GNI,ED2,IE	1.3 	: 	1.0 	0.8 	0.8 	0.6 	0.6 	0.6 	0.7 
A,PC_GNI,ED2,IS	1.2 	1.0 	1.1 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED2,IT	0.7 	0.7 	0.7 	0.7 	0.6 	0.7 	0.7 	0.7 	0.6 
A,PC_GNI,ED2,LT	1.3 	4.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.1 	1.2 
A,PC_GNI,ED2,LU	1.3 	1.2 	1.2 	1.2 	1.1 	1.1 	1.0 	1.2 	1.2 
A,PC_GNI,ED2,LV	0.9 	0.7 	0.7 	0.8 	0.7 	0.6 	0.6 	0.6 	0.6 
A,PC_GNI,ED2,MT	0.8 	0.8 	0.7 	0.7 	0.9 	0.9 	0.9 	0.9 	1.1 
A,PC_GNI,ED2,NL	1.3 	1.3 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 p
A,PC_GNI,ED2,NO	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.9 
